"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2020,2,4,16,4,2020-04-16,"G4",20368,"G4","","407",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,10685,1068503,30685,"BMI","Bloomington/Normal, IL","IL","17","Illinois",41,"1523","",,,,,"1500-1559",,"","",,"1651","",,,,,"1600-1659",1.00,"D",0.00,148.00,,,1.00,917.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,22,3,2020-04-22,"G4",20368,"G4","","2297",13230,1323002,32070,"MDT","Harrisburg, PA","PA","42","Pennsylvania",23,14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,"1438","",,,,,"1400-1459",,"","",,"1653","",,,,,"1600-1659",1.00,"D",0.00,135.00,,,1.00,827.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,2,4,2020-04-02,"G4",20368,"G4","","4",13256,1325602,33256,"MFE","Mission/McAllen/Edinburg, TX","TX","48","Texas",74,12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,"2039","",,,,,"2000-2059",,"","",,"2141","",,,,,"2100-2159",1.00,"D",0.00,182.00,,,1.00,1210.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,5,7,2020-04-05,"G4",20368,"G4","","892",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,15295,1529502,35165,"TOL","Toledo, OH","OH","39","Ohio",44,"1731","",,,,,"1700-1759",,"","",,"1956","",,,,,"1900-1959",1.00,"D",0.00,145.00,,,1.00,945.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,13,1,2020-04-13,"G4",20368,"G4","316NV","2379",14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,14696,1469608,34696,"SBN","South Bend, IN","IN","18","Indiana",42,"1110","1238",88.00,88.00,1.00,5,"1100-1159",11.00,"1249","1622",7.00,"1335","1629",,,,,"1300-1359",0.00,"",1.00,145.00,,,1.00,936.00,4,,,,,,"",,,1,1.00,231.00,174.00,0.00,"ROA",14574,1457405,"1401",17.00,10.00,"1521","316NV","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,30,4,2020-04-30,"G4",20368,"G4","327NV","1470",14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,"2033","2016",-17.00,0.00,0.00,-2,"2000-2059",9.00,"2025","2222",7.00,"2248","2229",-19.00,0.00,0.00,-2,"2200-2259",0.00,"",0.00,135.00,133.00,117.00,1.00,912.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,1,3,2020-04-01,"G4",20368,"G4","","252",10135,1013506,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,14082,1408202,34082,"PGD","Punta Gorda, FL","FL","12","Florida",33,"0600","",,,,,"0600-0659",,"","",,"0838","",,,,,"0800-0859",1.00,"D",0.00,158.00,,,1.00,1018.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,6,1,2020-04-06,"G4",20368,"G4","","2464",11986,1198603,31986,"GRR","Grand Rapids, MI","MI","26","Michigan",43,14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,"1323","",,,,,"1300-1359",,"","",,"1603","",,,,,"1600-1659",1.00,"D",0.00,160.00,,,1.00,1080.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","759",13244,1324402,33244,"MEM","Memphis, TN","TN","47","Tennessee",54,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,"1505","",,,,,"1500-1559",,"","",,"1652","",,,,,"1600-1659",1.00,"D",0.00,107.00,,,1.00,559.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,9,4,2020-04-09,"G4",20368,"G4","","1334",14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,14574,1457405,34574,"ROA","Roanoke, VA","VA","51","Virginia",38,"1503","",,,,,"1500-1559",,"","",,"1654","",,,,,"1600-1659",1.00,"D",0.00,111.00,,,1.00,668.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
